List of countries by net goods exports


# List of countries by net goods exports



This is a **list of countries by net goods exports**, also known as **balance of trade**, which is the difference between the monetary value of a nation's exports and imports over a certain time period. The list includes sovereign states and self-governing dependent territories based upon the ISO standard ISO 3166-1. The following table shows the value of total annual merchandise exports and imports, expressed in millions of United States dollars (current prices), and the resulting trade balance, according to United Nations Conference on Trade and Development (UNCTAD), World Trade Organization (WTO), and World Bank (WB).

Countries with positive balance of trade have a trade surplus, countries with negative net exports have a trade deficit.


## List

Sorting is alphabetical by country code, according to ISO 3166-1 alpha-3.

Net goods exports *(USD current prices)*
| Country/Territory/Region/Group | UNCTAD | | | WTO | | | WB | | | | | |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Exports 2023 | Imports 2023 | Trade balance 2023 | Exports 2023 | Imports 2023 | Trade balance 2023 | Exports | Year | Imports | Year | Trade balance | Year |
| (millions USD) | (millions USD) | (millions USD) | (millions USD) | (millions USD) | (millions USD) | (millions USD) | (millions USD) | (millions USD) |
| France | 683480.73 | 792884.38 | −137403.65 | 648480.73 | 785884.38 | −137403.65 | 691516.12 | 2023 | 779023.85 | 2023 | −87507.73 | 2023 |
| Faroe Islands | 1853.07 | 1706.13 | 146.94 | 1005.99 | 2011 | 949.03 | 2011 | 56.97 | 2011 |
| Federated States of Micronesia | 106.00 | 301.00 | −195.00 | 106.00 | 301.00 | −195.00 | 88.09 | 2014 | 154.45 | 2014 | −66.36 | 2014 |
| Gabon | 7700.00 | 6100.00 | 1600.00 | 7700.00 | 6100.00 | 1600.00 | 5112.62 | 2015 | 3171.35 | 2015 | 1941.27 | 2015 |
| United Kingdom | 520690.64 | 791301.98 | −270611.34 | 520690.64 | 791301.98 | −270611.33 | 490566.54 | 2023 | 722479.16 | 2023 | −231912.62 | 2023 |
| Georgia | 6090.60 | 15514.00 | −9423.40 | 6090.60 | 15514.00 | −9423.40 | 8110.82 | 2023 | 14203.55 | 2023 | −6092.73 | 2023 |
| Ghana | 15868.32 | 13714.75 | 2153.57 | 15868.32 | 13714.75 | 2153.57 | 17494.36 | 2022 | 14621.23 | 2022 | 2873.13 | 2022 |
| Gibraltar | 320.00 | 1130.00 | −810.00 |
| Guinea | 9635.86 | 4696.46 | 4939.40 | 9635.86 | 4696.46 | 4939.40 | 8752.57 | 2022 | 4842.50 | 2022 | 3910.07 | 2022 |
| Gambia | 39.85 | 784.34 | −744.49 | 39.85 | 784.34 | −744.49 | 51.62 | 2022 | 693.99 | 2022 | −642.38 | 2022 |
| Guinea-Bissau | 232.54 | 588.35 | −355.81 | 232.55 | 588.35 | −355.81 | 245.15 | 2022 | 398.81 | 2022 | −153.66 | 2022 |
| Equatorial Guinea | 5200.00 | 3100.00 | 2100.00 | 5200.00 | 3100.00 | 2100.00 | 175.31 | 1996 | 292.04 | 1996 | −116.73 | 1996 |
| Greece | 55047.35 | 88617.39 | −33570.04 | 55047.35 | 88617.39 | −33570.04 | 53464.65 | 2023 | 88499.81 | 2023 | −35035.16 | 2023 |
| Grenada | 46.05 | 608.76 | −562.71 | 46.06 | 608.76 | −562.70 | 111.20 | 2023 | 707.15 | 2023 | −595.95 | 2023 |
| Greenland | 908.14 | 905.29 | 2.85 | 908.14 | 905.29 | 2.85 |
| Guatemala | 14198.72 | 30317.94 | −16119.22 | 14198.72 | 30317.94 | −16119.23 | 13035.27 | 2023 | 27364.05 | 2023 | −14328.79 | 2023 |
| Guam | 22.70 | 1305.00 | −1282.30 | 22.70 | 1305.00 | −1282.30 |
| Guyana | 13058.50 | 6478.20 | 6580.30 | 13058.50 | 6478.20 | 6580.30 | 11299.45 | 2022 | 3204.47 | 2022 | 8094.98 | 2022 |
| Hong Kong | 573871.01 | 653696.23 | −79825.22 | 573871.01 | 653696.23 | −79825.21 | 574430.87 | 2023 | 590797.79 | 2023 | −16366.93 | 2023 |
| Honduras | 11376.40 | 17525.20 | −6148.80 | 11376.40 | 17525.20 | −6148.80 | 5985.15 | 2023 | 14412.52 | 2023 | −8427.37 | 2023 |
| Croatia | 24894.27 | 43180.62 | −18286.35 | 24894.27 | 43180.62 | −18286.36 | 20753.75 | 2023 | 39470.78 | 2023 | −18717.02 | 2023 |
| Haiti | 896.41 | 3996.33 | −3099.92 | 896.41 | 3996.33 | −3099.92 | 1253.86 | 2022 | 4761.86 | 2022 | −3508.01 | 2022 |
| Hungary | 160954.78 | 155966.27 | 4988.51 | 160954.78 | 155966.27 | 4988.51 | 136377.82 | 2023 | 136085.13 | 2023 | 292.69 | 2023 |
| Indonesia | 258857.34 | 221886.20 | 36971.14 | 258857.34 | 221886.20 | 36971.14 | 259513.83 | 2023 | 213061.02 | 2023 | 46452.82 | 2023 |
| India | 432000.87 | 672667.28 | −240666.41 | 432000.87 | 672667.28 | −240666.41 | 435682.38 | 2023 | 681100.57 | 2023 | −245418.19 | 2023 |
| Ireland | 209498.76 | 147065.16 | 62433.60 | 209498.76 | 147065.16 | 62433.61 | 334222.91 | 2023 | 159508.14 | 2023 | 174714.77 | 2023 |
| Iran | 91188.16 | 65276.24 | 25911.92 | 91188.16 | 65276.24 | 25911.92 | 28345.00 | 2000 | 15207.00 | 2000 | 13138.00 | 2000 |
| Iraq | 115952.00 | 95518.92 | 20433.08 | 115952.00 | 95518.92 | 20433.08 | 118044.80 | 2022 | 46914.80 | 2022 | 71130.00 | 2022 |
| Iceland | 6609.48 | 9464.07 | −2854.59 | 6609.48 | 9464.07 | −2854.59 | 6843.87 | 2023 | 8960.09 | 2023 | −2116.22 | 2023 |
| Israel | 66892.70 | 91283.82 | −24391.12 | 66892.70 | 91283.82 | −24391.12 | 73471.50 | 2023 | 93152.90 | 2023 | −19681.40 | 2023 |
| Italy | 676963.33 | 639630.14 | 37333.19 | 676963.33 | 639630.14 | 37333.19 | 645564.81 | 2023 | 599949.05 | 2023 | 45615.77 | 2023 |
| Jamaica | 2107.16 | 7857.80 | −5750.64 | 2107.17 | 7857.80 | −5750.64 | 1901.51 | 2022 | 6509.54 | 2022 | −4608.03 | 2022 |
| Jordan | 12762.93 | 25469.97 | −12707.04 | 12762.93 | 25469.97 | −12707.04 | 12380.28 | 2022 | 24275.33 | 2022 | −11895.05 | 2022 |
| Japan | 717315.07 | 785614.67 | −68299.60 | 717315.07 | 785614.67 | −68299.59 | 713824.21 | 2023 | 761680.54 | 2023 | −47856.34 | 2023 |
| Kazakhstan | 78532.90 | 60654.84 | 17878.06 | 78532.90 | 60654.84 | 17878.06 | 79879.44 | 2023 | 59711.04 | 2023 | 20168.40 | 2023 |
| Kenya | 7192.53 | 18590.58 | −11398.05 | 7192.53 | 18590.58 | −11398.05 | 7418.91 | 2022 | 19122.85 | 2022 | −11703.94 | 2022 |
| Kyrgyzstan | 3308.90 | 12352.00 | −9043.10 | 3308.90 | 12352.00 | −9043.10 | 2253.35 | 2022 | 9172.07 | 2022 | −6918.73 | 2022 |
| Cambodia | 23469.81 | 24386.09 | −916.28 | 23469.81 | 24386.09 | −916.28 | 23564.39 | 2023 | 26550.64 | 2023 | −2986.24 | 2023 |
| Kiribati | 8.00 | 96.00 | −88.00 | 8.00 | 96.00 | −88.00 | 8.65 | 2022 | 177.02 | 2022 | −168.37 | 2022 |
| Saint Kitts and Nevis | 24.46 | 316.98 | −292.52 | 24.46 | 316.98 | −292.52 | 30.81 | 2023 | 420.68 | 2023 | −389.87 | 2023 |
| South Korea | 632225.82 | 642572.13 | −10346.31 | 632225.82 | 642572.13 | −10346.30 | 645048.10 | 2023 | 610955.70 | 2023 | 34092.40 | 2023 |
| Kuwait | 85408.60 | 37378.02 | 48030.58 | 85408.60 | 37378.02 | 48030.58 | 84174.00 | 2023 | 33028.05 | 2023 | 51145.95 | 2023 |
| Laos | 8370.58 | 7710.87 | 659.71 | 8370.58 | 7710.87 | 659.71 | 8198.25 | 2022 | 7244.14 | 2022 | 954.11 | 2022 |
| Lebanon | 3082.62 | 15286.15 | −12203.53 | 3082.62 | 15286.15 | −12203.53 | 3848.56 | 2023 | 16686.89 | 2023 | −12838.32 | 2023 |
| Liberia | 1100.00 | 1700.00 | −600.00 | 1100.00 | 1700.00 | −600.00 | 1028.44 | 2022 | 1527.82 | 2022 | −499.38 | 2022 |
| Libya | 35270.00 | 20522.50 | 14747.50 | 35270.00 | 20522.50 | 14747.50 | 32297.00 | 2021 | 16957.20 | 2021 | 15339.80 | 2021 |
| Saint Lucia | 76.88 | 935.65 | −858.77 | 76.88 | 935.65 | −858.77 | 140.36 | 2023 | 798.36 | 2023 | −658.01 | 2023 |
| Sri Lanka | 11910.70 | 16811.20 | −4900.50 | 11910.70 | 16811.20 | −4900.50 | 11910.71 | 2023 | 16811.13 | 2023 | −4900.42 | 2023 |
| Lesotho | 793.95 | 1772.06 | −978.11 | 793.95 | 1772.06 | −978.11 | 870.58 | 2023 | 1645.26 | 2023 | −774.68 | 2023 |
| Lithuania | 42639.16 | 48435.96 | −5796.80 | 42639.16 | 48435.96 | −5796.81 | 39295.55 | 2023 | 44507.85 | 2023 | −5212.29 | 2023 |
| Luxembourg | 17147.89 | 25535.22 | −8387.33 | 17147.89 | 25535.22 | −8387.33 | 27452.91 | 2023 | 27650.97 | 2023 | −198.07 | 2023 |
| Latvia | 22446.03 | 27114.40 | −4668.37 | 22446.03 | 27114.40 | −4668.37 | 19817.53 | 2023 | 23860.92 | 2023 | −4043.39 | 2023 |
| Macau | 1654.34 | 17541.15 | −15886.81 | 1654.34 | 17541.15 | −15886.81 | 7875.17 | 2022 | 17570.93 | 2022 | −9695.76 | 2022 |
| Morocco | 41641.75 | 68632.00 | −26990.25 | 41641.75 | 68632.00 | −26990.25 | 36574.76 | 2022 | 63037.15 | 2022 | −26462.40 | 2022 |
| Moldova | 4048.60 | 8673.70 | −4625.10 | 4048.60 | 8673.70 | −4625.10 | 3425.50 | 2023 | 8313.30 | 2023 | −4887.80 | 2023 |
| Madagascar | 3213.01 | 4749.94 | −1536.93 | 3213.01 | 4749.94 | −1536.93 | 3547.07 | 2022 | 4516.89 | 2022 | −969.82 | 2022 |
| Maldives | 421.39 | 3497.16 | −3075.77 | 421.39 | 3497.16 | −3075.77 | 399.74 | 2022 | 3315.58 | 2022 | −2915.83 | 2022 |
| Mexico | 593011.65 | 621476.40 | −28464.75 | 593011.65 | 621476.40 | −28464.76 | 593579.85 | 2023 | 599122.28 | 2023 | −5542.43 | 2023 |
| Marshall Islands | 58.82 | 103.49 | −44.67 | 58.82 | 103.49 | −44.67 | 120.57 | 2021 | 132.88 | 2021 | −12.31 | 2021 |
| North Macedonia | 8999.20 | 12055.58 | −3056.38 | 8999.20 | 12055.58 | −3056.38 | 7882.93 | 2023 | 10669.64 | 2023 | −2786.71 | 2023 |
| Mali | 5320.78 | 8364.14 | −3043.36 | 5320.79 | 8364.14 | −3043.35 | 5376.43 | 2022 | 5592.40 | 2022 | −215.96 | 2022 |
| Malta | 3468.48 | 8105.36 | −4636.88 | 3468.48 | 8105.36 | −4636.88 | 3818.34 | 2022 | 7415.18 | 2022 | −3596.83 | 2022 |
| Myanmar | 13593.50 | 15565.50 | −1972.00 | 13593.50 | 15565.50 | −1972.00 | 10840.84 | 2019 | 13691.17 | 2019 | −2850.33 | 2019 |
| Montenegro | 679.46 | 4118.11 | −3438.65 | 679.46 | 4118.11 | −3438.65 | 773.60 | 2023 | 4004.60 | 2023 | −3231.00 | 2023 |
| Mongolia | 15184.50 | 9252.50 | 5932.00 | 15184.50 | 9252.50 | 5932.00 | 13914.30 | 2023 | 9365.64 | 2023 | 4548.65 | 2023 |
| Northern Mariana Islands | 4.61 | 556.26 | −551.65 | 4.61 | 556.26 | −551.64 | |
| Mozambique | 8276.43 | 10097.58 | −1821.15 | 8276.43 | 10097.58 | −1821.15 | 8276.43 | 2023 | 9179.62 | 2023 | −903.19 | 2023 |
| Mauritania | 4017.36 | 5242.32 | −1224.96 | 4017.36 | 5242.32 | −1224.97 | 3824.93 | 2022 | 4826.56 | 2022 | −1001.62 | 2022 |
| Montserrat | 5.54 | 40.06 | −34.52 | 5.54 | 40.06 | −34.52 |
| Mauritius | 2299.56 | 6283.70 | −3984.14 | 2299.56 | 6283.70 | −3984.14 | 2299.57 | 2023 | 5906.35 | 2023 | −3606.79 | 2023 |
| Malawi | 880.00 | 1560.00 | −680.00 | 880.00 | 1560.00 | −680.00 | 1022.78 | 2022 | 3027.13 | 2022 | −2004.35 | 2022 |
| Malaysia | 312845.96 | 265755.14 | 47090.82 | 312845.96 | 265755.14 | 47090.81 | 231428.96 | 2023 | 201468.72 | 2023 | 29960.24 | 2023 |
| Namibia | 5930.00 | 7090.00 | −1160.00 | 5930.00 | 7090.00 | −1160.00 | 4645.65 | 2023 | 6286.00 | 2023 | −1640.35 | 2023 |
