List of countries by future gross government debt


# List of countries by future gross government debt



This is a list of countries by estimated future grossᶜˡᵃʳⁱᶠⁱᶜᵃᵗⁱᵒⁿ ⁿᵉᵉᵈᵉᵈ central government debt based on data released in October 2020 by the International Monetary Fund, with figures in percentage of national GDP.


## Projected debt estimates

**Gross government debt (sortable; in percent of GDP)**
| Country | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 2023 | 2024 | 2025 |
| *Puerto Rico* | 51.628 | 54.647 | 56.206 | 64.806 | 65.271 | 65.569 | 66.307 | 66.971 | 67.502 |
| Qatar | 51.552 | 46.543 | 56.182 | 68.059 | 60.578 | 54.031 | 48.031 | 43.008 | 37.955 |
| Romania | 36.811 | 36.427 | 36.761 | 44.833 | 49.591 | 54.382 | 58.475 | 62.196 | 65.351 |
| Russia | 14.311 | 13.520 | 13.915 | 18.942 | 18.982 | 18.528 | 18.201 | 18.048 | 17.915 |
| Rwanda | 41.317 | 44.991 | 51.361 | 61.604 | 69.387 | 69.548 | 67.571 | 67.015 | 66.872 |
| Saint Kitts and Nevis | 59.413 | 57.212 | 56.220 | 69.069 | 63.943 | 58.402 | 54.119 | 53.179 | 52.216 |
| Saint Lucia | 59.869 | 59.979 | 61.321 | 85.096 | 87.702 | 88.650 | 86.511 | 85.696 | 84.545 |
| Saint Vincent and the Grenadines | 73.501 | 75.642 | 75.196 | 87.927 | 89.694 | 90.831 | 90.802 | 89.239 | 86.809 |
| Samoa | 49.655 | 52.894 | 47.525 | 55.606 | 65.339 | 70.368 | 73.502 | 73.333 | 73.227 |
| San Marino | 76.641 | 78.769 | 85.708 | 97.408 | 95.173 | 94.517 | 94.117 | 94.846 | 95.321 |
| São Tomé and Príncipe | 85.839 | 83.079 | 73.069 | 73.637 | 66.710 | 62.639 | 58.756 | 55.056 | 51.84 |
| Saudi Arabia | 17.160 | 18.980 | 22.790 | 33.418 | 34.349 | 34.088 | 32.970 | 34.409 | 35.546 |
| Senegal | 61.139 | 63.198 | 64.051 | 65.405 | 65.424 | 64.621 | 60.361 | 58.290 | 57.473 |
| Serbia | 58.727 | 54.452 | 52.836 | 59.546 | 56.965 | 53.105 | 50.242 | 47.591 | 45.040 |
| Seychelles | 62.275 | 57.682 | 55.260 | 88.562 | 84.984 | 80.337 | 73.030 | 67.290 | 61.361 |
| Sierra Leone | 69.155 | 69.089 | 70.049 | 77.366 | 78.483 | 76.434 | 73.384 | 70.194 | 67.296 |
| Singapore | 108.403 | 110.447 | 130.023 | 131.186 | 132.353 | 133.519 | 134.701 | 135.898 | 137.112 |
| Slovakia | 51.312 | 49.463 | 48.000 | 61.792 | 60.625 | 58.989 | 56.923 | 55.623 | 55.178 |
| Slovenia | 74.122 | 70.425 | 66.130 | 80.956 | 78.005 | 77.309 | 75.466 | 73.862 | 72.747 |
| Solomon Islands | 8.386 | 8.199 | 8.913 | 15.346 | 18.785 | 21.375 | 23.753 | 25.738 | 27.830 |
| South Africa | 53.022 | 56.710 | 62.151 | 78.821 | 82.758 | 85.679 | 87.275 | 86.921 | 85.174 |
| South Korea | 40.050 | 40.022 | 41.924 | 48.410 | 52.241 | 55.801 | 59.254 | 62.268 | 64.960 |
| South Sudan | 65.209 | 48.189 | 65.427 | 71.737 | 56.748 | 47.498 | 40.742 | 36.951 | 35.333 |
| Spain | 98.556 | 97.601 | 95.466 | 123.038 | 121.310 | 120.375 | 119.308 | 118.120 | 118.813 |
| Sri Lanka | 77.902 | 83.769 | 86.781 | 98.255 | 98.295 | 97.807 | 97.683 | 97.253 | 96.550 |
| Sudan | 159.180 | 186.708 | 201.578 | 259.385 | 250.713 | 221.157 | 210.023 | 204.861 | 198.865 |
| Suriname | 77.986 | 75.563 | 82.295 | 145.268 | 107.704 | 110.882 | 112.157 | 116.466 | 120.489 |
| Sweden | 40.696 | 38.803 | 34.826 | 41.863 | 41.720 | 41.429 | 39.541 | 37.766 | 36.035 |
| Switzerland | 42.703 | 40.956 | 42.138 | 48.749 | 48.476 | 47.945 | 47.333 | 46.242 | 45.279 |
| Syria | n/a | n/a | n/a | n/a | n/a | n/a | n/a | n/a | n/a |
| Taiwan | 34.514 | 33.978 | 32.769 | 35.602 | 35.611 | 34.569 | 32.967 | 31.189 | 29.330 |
| Tajikistan | 50.293 | 47.819 | 43.087 | 47.768 | 48.860 | 48.454 | 48.344 | 48.242 | 47.963 |
| Tanzania | 37.671 | 38.699 | 38.220 | 38.507 | 39.248 | 38.959 | 38.258 | 37.396 | 36.814 |
| Thailand | 41.782 | 41.957 | 41.095 | 50.448 | 56.371 | 56.096 | 56.859 | 56.937 | 56.866 |
| Togo | 75.952 | 76.152 | 70.854 | 73.458 | 71.108 | 68.887 | 65.571 | 62.229 | 59.212 |
